label,umap_nn5_x,umap_nn5_y,umap_nn15_x,umap_nn15_y,umap_nn50_x,umap_nn50_y
1,12.1795,2.5050,8.4441,7.7340,12.8591,12.3371
2,8.2757,2.6064,9.3369,5.4736,13.8060,10.2208
2,7.9397,0.7752,9.2494,4.8333,13.6319,10.7632
0,-1.6245,6.9784,2.6954,4.4634,8.4165,8.7113
4,10.2104,10.0381,13.0385,1.8781,13.5311,5.8975
9,11.2746,9.2114,12.2188,2.2816,12.9861,6.6568
0,-0.5473,5.6640,2.1560,3.4539,8.1055,7.7540
3,3.9622,7.4623,5.4962,2.9111,10.4403,7.4755
5,4.6514,7.7727,5.1651,3.0778,10.7859,7.4495
8,7.3340,6.2123,7.8034,3.6957,12.2985,8.7419
1,12.1458,2.7039,8.5143,7.7378,12.7297,12.1833
5,3.8647,3.5905,6.6634,6.5565,11.6923,11.0123
9,11.7759,8.3817,11.9627,2.9651,13.3265,7.0455
2,6.6634,1.7287,8.6732,4.4419,13.3933,10.9315
6,1.3396,1.9189,3.9196,6.5942,9.1108,10.6871
3,4.9955,6.8454,6.4933,3.0524,11.1738,7.9647
1,13.0732,2.0385,8.6035,8.5824,11.9508,12.2923
6,0.3715,1.9975,3.2900,6.4128,8.5959,10.3448
9,12.4252,7.2895,11.7830,3.9097,13.9697,7.6268
9,12.3348,5.8229,11.8645,4.9939,14.8730,8.4420
6,1.8308,2.1806,4.3320,6.3984,9.3665,10.3562
9,11.7384,8.7548,12.1698,2.6305,13.2616,6.8642
2,13.5491,0.2541,8.9209,9.0722,11.7120,12.1751
7,11.4971,10.4063,11.9134,1.8001,13.5274,5.9824
2,8.4890,2.0686,9.2798,5.7388,13.7685,10.1196
6,1.2193,2.1670,3.9533,6.2032,9.1645,10.4857
8,6.2998,6.9829,7.2630,3.1924,11.4920,8.2062
9,11.0818,9.5679,12.0685,1.9464,11.8739,6.8331
8,7.5634,4.2334,7.6961,5.2022,12.8996,9.6336
5,4.2817,8.3685,5.1678,2.4735,10.5390,6.9364
1,7.3615,1.6124,8.8577,4.5766,13.3726,10.8087
9,12.3821,7.5387,11.6718,3.7698,13.9197,7.4833
0,-0.4477,5.7768,2.3208,3.4602,8.2073,7.8076
4,10.6440,8.9638,12.4866,2.1412,13.0093,6.3488
3,5.5559,6.9329,6.8237,2.9911,11.4857,7.9121
6,1.3687,2.3880,3.9351,6.6828,9.1508,10.5041
1,11.3876,2.1892,7.8692,7.1961,13.1065,11.7662
