label,ae_k2_z1,ae_k2_z2,ae_k2_err,vae_k2_z1,vae_k2_z2,vae_k2_err,ae_k8_z1,ae_k8_z2,ae_k8_err,vae_k8_z1,vae_k8_z2,vae_k8_err,ae_k32_z1,ae_k32_z2,ae_k32_err,vae_k32_z1,vae_k32_z2,vae_k32_err
1,5.847026,-7.4785275,0.023800116,-0.28462392,-2.538956,0.017614769,-11.1830015,4.974052,0.005322924,-2.0729644,-1.1408406,0.009553644,-11.114085,-9.2429285,0.0037847308,-2.4936178,-0.9209837,0.011159356
2,3.3075757,-9.126937,0.09497127,0.026279196,0.99808294,0.08858092,-2.7717652,-9.498078,0.019146563,0.26411584,1.0524962,0.030836804,4.5747166,-5.233249,0.009002208,1.771205,0.5546436,0.032255344
2,0.65330243,-2.7758105,0.05097344,0.21239263,0.7436357,0.05713584,3.106137,1.4960521,0.031068519,0.54872125,-0.9544417,0.03689899,1.2338659,-2.3961082,0.019142363,-0.28584716,0.24500827,0.042283505
0,-2.9790025,-8.253795,0.079251565,-1.1202942,2.28609,0.06466384,-2.0620303,-7.744194,0.012563375,-0.34477973,1.5721439,0.02559062,5.1123285,-4.768695,0.0067246193,1.1388724,-0.1916353,0.02616036
4,3.9275656,0.9520638,0.042766772,0.23232147,0.3101119,0.044247266,4.2928767,4.936818,0.021965168,1.439453,1.2162179,0.021367988,-1.4417492,8.484765,0.01217534,0.73311204,1.3111964,0.03599153
9,7.2539377,-0.7076417,0.033022713,0.26609275,-0.29280972,0.034474783,7.1817083,7.521476,0.011776347,1.0071665,-1.3065015,0.017709892,-3.7860346,8.941357,0.0057547833,-0.96108514,0.103131644,0.017697483
0,-5.0752764,-1.560772,0.03686028,-2.828112,0.6014896,0.044872575,4.766908,-2.0212796,0.013120899,1.0889935,1.2248361,0.02750202,6.1468077,0.1394151,0.008606648,0.6137173,1.6455301,0.025967974
3,0.13341975,-5.36639,0.04369189,-1.2009543,-0.5493136,0.048614062,7.2275805,-5.695386,0.029666116,0.7228193,-1.3393477,0.031173687,10.5172615,-4.8080273,0.019726977,0.6135093,-0.3602197,0.033621248
5,0.19029441,-4.7815933,0.048392393,-0.46460032,-0.36633205,0.050765164,10.011172,0.36067832,0.018703278,1.3540258,-0.8975082,0.03296443,4.9408054,3.984159,0.014583809,-0.17676683,0.5010823,0.03338503
8,8.997872,-10.737636,0.062051423,0.83290184,-0.5354265,0.056208503,-0.67787546,4.668152,0.025520071,-0.42759672,-0.5304241,0.03143875,-4.6441746,8.707524,0.017119426,-0.838237,0.62730426,0.027289094
1,4.444632,-5.531752,0.01874636,-0.4041494,-2.5256574,0.013370609,-8.709383,5.5435405,0.0025562027,-1.5043243,-1.3153753,0.004546847,-9.598696,-9.266516,0.00212488,-2.4410777,-0.7802678,0.0071529844
