label,ae_z1,ae_z2,vae_mu1,vae_mu2,vae_logvar1,vae_logvar2
1,5.847026,-7.4785275,-0.28462392,-2.538956,-2.4509912,-2.378583
2,3.3075757,-9.126937,0.026279196,0.99808294,-3.6476243,-3.7478294
2,0.65330243,-2.7758105,0.21239263,0.7436357,-3.597989,-3.3523154
0,-2.9790025,-8.253795,-1.1202942,2.28609,-3.3640206,-2.6819134
4,3.9275656,0.9520638,0.23232147,0.3101119,-3.268068,-3.6151075
9,7.2539377,-0.7076417,0.26609275,-0.29280972,-3.4523926,-3.429595
0,-5.0752764,-1.560772,-2.828112,0.6014896,-2.8327098,-4.1083064
3,0.13341975,-5.36639,-1.2009543,-0.5493136,-2.8341084,-3.0742464
5,0.19029441,-4.7815933,-0.46460032,-0.36633205,-3.2801766,-3.3897667
8,8.997872,-10.737636,0.83290184,-0.5354265,-2.9563513,-3.2101607
1,4.444632,-5.531752,-0.4041494,-2.5256574,-2.360092,-2.1656606
5,4.4804025,-6.4529076,0.15952145,-2.5874827,-2.5391586,-2.7380762
9,5.002302,-1.5130224,0.59421766,-0.35069,-2.8014193,-2.8347268
2,1.5084671,-5.7704363,-2.1294901,-0.9665888,-3.785692,-4.239274
6,2.6054826,-7.4230385,1.1356058,1.4893858,-3.1241968,-3.0681996
3,1.0332932,-9.516338,-0.5080329,-0.6501741,-3.7340827,-3.906527
1,5.5297465,-5.111104,0.95698017,-2.4389448,-2.9530334,-2.731038
6,-1.7424237,-8.147975,-0.12224014,1.6538367,-3.6912544,-3.3486533
9,11.51064,-6.323491,1.0683928,-0.68706965,-3.4014192,-3.3125772
9,13.227389,-11.059372,2.4195824,-0.40138713,-2.531965,-2.6129537
6,-0.54371643,-7.083837,0.0008035116,1.7674391,-3.1835093,-2.5796494
9,9.561828,-1.2850922,0.649543,-0.3069563,-3.5803235,-3.7159567
2,3.5599198,-3.7408545,0.86068445,-1.6738474,-2.6819866,-2.534995
7,6.600556,2.8026955,0.08255763,0.098491974,-3.9883368,-4.195363
2,4.4854918,-11.408436,0.5231805,1.6077714,-3.6394987,-3.5405421
6,2.4635382,-7.217593,0.89919144,1.5168412,-3.7876172,-3.3059554
8,0.3332872,-3.910116,-0.82671297,-0.46856454,-2.9898405,-3.3072038
9,0.3847383,-6.641555,-0.4787286,-0.1521854,-3.9699638,-4.049442
8,7.0529604,-14.963866,2.4901586,1.9249659,-2.9902894,-2.940671
5,-0.72018105,-6.465633,-1.2573,0.16287108,-3.8925188,-4.298835
1,1.177302,-4.6745048,-0.7392169,-1.1031287,-3.0293617,-3.260394
9,8.971866,-3.3155901,0.8735716,-0.9158066,-2.856808,-3.0438428
0,-4.832192,-2.3400006,-2.395272,0.7697141,-3.089236,-4.0128264
4,9.055758,-0.21032685,0.39787105,-0.10579322,-3.7046957,-3.8366947
3,1.7512263,-7.5590634,-0.30971113,-0.78656113,-4.302162,-4.584451
6,-0.33563548,-4.7154207,0.36129707,1.4679517,-3.0864043,-2.5686922
1,4.603613,-7.129048,-1.651638,-2.490278,-2.3318331,-2.450346
6,1.515697,-7.139529,0.5694638,1.990818,-3.321679,-2.4216418
4,5.241205,-0.022327457,0.29777092,0.031076545,-3.6249695,-3.7952218
4,5.848546,2.483487,0.19963703,0.3051068,-3.9540772,-4.604687
0,-1.606806,-8.127342,-0.70377076,0.822999,-3.8196502,-3.2977805
4,8.474453,-7.2977023,1.5731907,0.70641327,-2.912184,-3.0373154
6,-1.7958012,-3.5127923,-0.49603456,0.62394774,-4.3110943,-4.239236
3,2.9515662,-7.3913364,-0.33989358,-1.1565408,-3.070591,-3.3198466
3,0.75722003,-4.180614,-0.47990185,-1.278612,-2.8773344,-3.2770767
7,13.722511,-8.392809,1.9672215,-0.48667508,-2.5234015,-3.1096282
5,2.7433507,-11.77637,0.101135164,-0.48287708,-3.8388424,-4.1628027
6,2.1366947,-11.889491,0.1892506,1.9965439,-3.3385158,-2.698597
0,-3.2094254,-8.236863,-1.2703896,1.6038227,-3.5532842,-3.0598464
4,9.162267,-8.074189,1.5389074,0.87927365,-3.502488,-4.021124
1,4.498135,-3.0148597,1.0197395,-2.0710118,-3.2620938,-2.9986258
8,7.816209,-13.358448,-0.544215,-1.5004385,-2.1071186,-2.8717422
4,11.191449,-4.0068765,1.679856,0.71761036,-3.1986518,-3.6411347
8,0.83977014,-8.638284,-0.4544953,-0.038991272,-3.4148479,-3.4305902
7,12.569528,-13.1325035,2.7509573,-0.87767965,-2.636783,-3.1196923
2,0.8353172,-5.312197,-0.18440647,-0.41938496,-2.8385077,-3.019782
6,2.514203,-8.258371,0.96065253,1.89226,-3.8120036,-3.2493815
0,-0.9953187,-7.290825,-0.43147948,1.3641073,-3.2846386,-2.5767593
1,4.843489,-3.895881,0.64759916,-2.1217659,-2.7373998,-2.5486708
6,2.566314,-5.881884,0.60067415,1.3657019,-3.5008738,-2.932918
7,15.117062,-15.188047,2.916539,-0.38969228,-2.6758428,-3.3601737
7,6.7506557,-8.01964,1.0593884,-0.92563385,-2.3005326,-2.3509269
9,9.548389,-0.5311701,0.3626209,0.1182395,-3.6621232,-3.7908792
8,3.2811081,-10.100533,-0.20570213,-1.2693882,-3.0479538,-3.1924024
1,3.6336486,-2.149615,0.81839085,-1.6205872,-3.5280774,-3.4214768
2,1.3597709,-3.3227067,0.6631264,0.52426064,-2.7313485,-2.720457
1,5.0615673,-4.664548,1.0147207,-2.1442504,-3.2078552,-3.0993872
8,6.2363915,-13.661728,1.6507968,1.1858983,-2.7068431,-2.6953144
8,1.6423937,-5.351656,-0.17298304,-0.67541814,-3.317333,-3.4615855
6,2.9821477,-7.1448984,1.1204482,1.7646632,-3.0167441,-2.8799677
0,2.068008,-9.680763,-0.11097264,-0.19946349,-3.6005058,-3.4403028
2,2.267727,-6.5187945,0.26011494,0.9171444,-3.7449095,-3.8114753
8,1.313188,-4.9819703,-0.1372619,-0.5255277,-3.230489,-3.4002547
1,6.3970613,-11.890933,-0.4781831,-1.4138248,-2.8859031,-3.0311356
1,3.0699334,-1.4977591,0.64216757,-1.5605263,-3.2447526,-3.1545272
4,8.759384,-1.7372049,0.87879914,0.6554106,-3.5402014,-3.2301774
4,9.099912,-8.128637,1.6379924,0.46926525,-2.9410722,-3.0580583
3,1.7037517,-9.762073,-1.47543,-0.33519307,-2.8154624,-3.383576
6,-0.8321457,-3.4023688,-0.32784787,0.53693014,-3.0982895,-2.7551394
9,7.32442,1.5783532,0.027436856,0.2826729,-4.1140985,-4.1356525
8,7.3602123,-9.431359,0.015660001,-0.27593404,-3.6691437,-3.982523
6,-1.7726947,-2.9747431,-0.08884111,1.126709,-3.816208,-3.5936832
8,2.5621207,-7.16045,-0.13839102,-0.32872474,-3.0794196,-3.3565955
7,10.501261,0.42377234,1.0778313,-0.05997686,-2.999862,-3.4498687
3,4.3021812,-13.09596,-0.19797564,-0.32875067,-2.7116487,-2.9243455
9,3.7584467,1.8356667,0.059081215,0.35369456,-3.8586729,-4.228033
6,1.8182365,-8.053392,0.95394254,2.1171224,-4.1776223,-3.8069978
2,1.2102439,-4.6331754,0.06732464,1.3262281,-3.3284419,-3.194799
9,10.433443,-11.387973,2.1152892,-0.1449855,-2.4443192,-2.908761
4,3.7894506,1.3781524,0.099735126,0.11670516,-4.5321736,-4.8471127
0,-3.4288275,-9.375299,-1.0553669,2.8023813,-3.5972052,-2.6309228
6,-1.5961529,-1.07967,-0.50985277,0.6084208,-4.539853,-4.837662
4,10.354917,-12.152486,1.8748472,-0.101341076,-2.7452855,-3.0169353
9,4.432647,1.6378914,0.13600132,0.12413483,-3.684537,-3.7595305
1,3.5880804,-3.8413074,0.50473803,-2.1027293,-2.276206,-2.08744
0,-5.287492,-9.203521,-1.6409222,2.921416,-3.5664034,-2.827415
8,6.5734234,-14.75423,-0.47035003,-1.1110628,-2.6578555,-3.075523
8,4.6131988,-9.280978,0.7639301,-0.28791526,-2.69024,-2.8000412
0,-3.9088264,-13.426651,-1.495893,2.5843542,-4.600782,-3.5614924
4,4.1857758,1.5873532,0.21956386,0.18871872,-3.4629843,-3.5378923
0,-4.3288207,-2.9738703,-1.4706042,1.0750449,-3.1028914,-3.461988
6,1.2846872,-7.488392,0.8582417,2.0329783,-4.2249274,-3.7310424
7,10.681981,1.8982563,0.683924,-0.37791038,-3.27346,-3.232057
7,13.006064,-11.81714,2.4417021,-1.0278699,-2.79633,-3.1890345
5,1.3458134,-7.7558136,-0.041274015,-0.82528037,-2.99605,-3.0994492
5,3.06611,-9.908914,0.57633775,1.686574,-2.710025,-2.4488616
5,0.39219302,-8.324399,-0.6699747,-0.077732876,-3.4035497,-3.2211914
0,-6.0478663,-6.7679577,-1.8523331,2.4053652,-3.0449686,-2.7825732
0,-3.0104017,-11.547293,-1.353336,1.7306732,-4.355293,-3.7484288
1,5.878685,-3.4756494,0.93718123,-1.7269524,-3.6365662,-3.4070063
0,-6.5437207,-2.414151,-2.857615,0.6667102,-3.770762,-4.948714
0,-1.1816928,-10.15692,-0.14114079,2.8072846,-3.9899263,-2.8241549
6,1.6434956,-6.133027,0.6067515,1.0644264,-3.4978185,-3.1099586
3,0.83306634,-9.360348,-0.75103074,-0.5266457,-4.099855,-4.410187
7,6.4693794,7.860931,-0.029000666,0.14170423,-3.6366901,-3.4510398
6,0.50346416,-6.7548637,0.5056524,2.1798513,-3.8505306,-3.1431093
7,9.10988,-1.563715,0.7867024,-0.5915509,-3.3490365,-3.522809
7,10.012489,-4.7255197,1.4060546,-0.70923245,-3.1536431,-3.3119984
7,8.449127,-10.667014,-0.12071903,-2.5285141,-2.2438695,-2.6073513
2,1.7419016,-6.357295,0.05622001,0.6972885,-3.6152277,-3.4148126
4,4.5894103,0.39084247,0.410419,-0.07924682,-3.082718,-3.1745315
2,3.331994,-9.310734,0.5865068,0.6247951,-2.6956055,-2.7243533
7,13.363663,-6.4558067,1.4790295,-0.56986636,-3.7870288,-4.1121573
7,9.463126,-10.791779,2.111343,-0.67255783,-2.353081,-2.731783
1,4.4749413,-2.9914508,0.8875767,-1.8680893,-3.3464282,-3.3680768
7,10.192983,-9.714289,1.9871773,-1.5770254,-2.3743503,-2.61793
9,9.084293,-4.714355,1.154893,0.21011856,-2.2398674,-2.3936057
8,4.428318,-13.290941,0.20201,-0.6304019,-2.850523,-3.3908625
6,1.8275986,-4.058999,0.6910246,1.0052559,-2.5308015,-2.4019504
5,4.6148148,-4.3318777,0.94273406,0.27827796,-3.1069841,-2.6529436
3,0.06621279,-7.4819293,-0.78457975,-0.14449464,-3.8439867,-3.8126268
9,12.28504,-13.208691,2.7880688,0.24157217,-2.5053756,-2.6818242
2,2.7699313,-7.2681203,0.2797802,0.7375103,-3.29409,-2.926639
8,5.548983,-13.99338,1.5036527,0.42786574,-2.3100638,-2.3588796
9,10.001518,-5.4707975,1.3088441,-0.48580092,-2.9063396,-2.777926
5,0.11639246,-7.522779,-0.9504494,-0.2928106,-4.1316485,-4.5169234
3,1.8905784,-10.770057,-1.0667756,-0.7559113,-4.014695,-4.364899
5,0.55100465,-6.205617,-0.27164897,-0.31884232,-3.0724323,-3.4214082
5,5.1351924,-6.770789,1.4491653,-1.8186569,-2.359349,-2.4633918
7,9.937866,1.1241049,0.42390743,-0.2689826,-3.4916234,-3.6196437
0,-2.2971997,-8.325581,-1.2354262,0.77426964,-3.430188,-3.4527936
0,-4.8947387,-5.755307,-1.3789711,1.9198905,-3.3266263,-3.018415
3,3.9266195,-13.221104,-0.11047262,-0.7501005,-3.159956,-3.6696968
