dim,mean_kl_const,mean_kl_anneal
0,0.010649415,0.002712627
1,0.016926125,0.015224872
2,0.011910826,0.005597148
3,0.018793896,0.07171039
4,0.041233353,0.032105822
5,0.0014356284,0.0066793603
6,0.029377058,0.4460338
7,0.06679802,0.010517783
8,0.0060016853,0.10116176
9,0.00545637,0.012015179
10,0.014669431,0.0057289177
11,0.0023892217,0.033173192
12,0.001491737,0.005949421
13,0.03372817,0.05670364
14,0.052630793,0.021630252
15,0.047392793,0.566706
16,0.035756323,0.12889394
17,0.22186932,0.011540945
18,0.026886765,0.009968071
19,0.27487174,0.0027963957
20,0.06535234,0.0072040814
21,0.01162559,0.060187276
22,0.0050736973,0.004769756
23,0.33120817,0.005048151
24,0.0067813075,0.009022059
25,0.012156531,0.043008868
26,0.034438185,0.0065478594
27,0.029751122,0.013358194
28,0.018006368,0.0069539906
29,0.0018069742,0.007957693
30,0.029029759,0.0025275142
31,0.020571083,0.011071637
