idx,label,parity,t00_c0,t00_c2,t00_c4,t00_c6,t00_c8,t01_c0,t01_c2,t01_c4,t01_c6,t01_c8,t02_c0,t02_c2,t02_c4,t02_c6,t02_c8,t03_c0,t03_c2,t03_c4,t03_c6,t03_c8,t04_c0,t04_c2,t04_c4,t04_c6,t04_c8,t05_c0,t05_c2,t05_c4,t05_c6,t05_c8,t06_c0,t06_c2,t06_c4,t06_c6,t06_c8,t07_c0,t07_c2,t07_c4,t07_c6,t07_c8,t08_c0,t08_c2,t08_c4,t08_c6,t08_c8,t09_c0,t09_c2,t09_c4,t09_c6,t09_c8,t10_c0,t10_c2,t10_c4,t10_c6,t10_c8,t11_c0,t11_c2,t11_c4,t11_c6,t11_c8,t12_c0,t12_c2,t12_c4,t12_c6,t12_c8,t13_c0,t13_c2,t13_c4,t13_c6,t13_c8,t14_c0,t14_c2,t14_c4,t14_c6,t14_c8,t15_c0,t15_c2,t15_c4,t15_c6,t15_c8,t16_c0,t16_c2,t16_c4,t16_c6,t16_c8,t17_c0,t17_c2,t17_c4,t17_c6,t17_c8,t18_c0,t18_c2,t18_c4,t18_c6,t18_c8,t19_c0,t19_c2,t19_c4,t19_c6,t19_c8
0,1,odd,0.0007882507,0.8363013,0.005095509,0.0030641037,0.15475078,0.0003790126,0.92400426,0.002347341,0.0002347864,0.07303452,0.00018028855,0.9274179,0.0006711532,0.0045427447,0.06718785,0.00046560372,0.99112403,0.0015909652,0.00024823402,0.006571051,0.002586567,0.21202242,0.03574274,0.010825129,0.7388231,0.0018215203,0.59481645,0.00581415,0.0011648822,0.39638302,0.0017721893,0.8109763,0.010364288,0.0005908669,0.17629622,0.00054378517,0.8231069,0.0014611925,9.979083e-05,0.17478831,0.000152797,0.27490464,0.003465897,0.0001466875,0.7213299,0.0006240846,0.8840214,0.01587437,0.000177938,0.099302284,0.002762364,0.64918846,0.3281013,0.0026939628,0.017253889,0.0025743397,0.7197342,0.16363235,0.0047012256,0.109357975,0.002211738,0.5674939,0.008712787,0.0025194162,0.41906208,0.0031167588,0.42960963,0.0050106975,0.013943972,0.548319,0.00038642928,0.96153235,0.001339211,0.00034727447,0.036394708,0.0026038366,0.92085946,0.03937011,0.013776978,0.023389496,0.0031914632,0.83473,0.03468236,0.020477101,0.106918976,0.0011637093,0.39950046,0.08009683,0.0010568625,0.51818216,0.0018629237,0.27608022,0.0077372985,0.0009311808,0.7133884,0.0032948882,0.6629106,0.01580848,0.0035856224,0.31440046
1,9,odd,3.7497186e-05,3.3580072e-08,0.9995561,8.747206e-07,0.00040544788,0.00012142156,1.5027838e-05,0.9998635,2.8113806e-10,5.5242477e-08,3.2779847e-06,1.36393965e-05,0.999956,1.2374548e-07,2.6937712e-05,8.047227e-07,7.114665e-08,0.9999926,2.365849e-07,6.312364e-06,7.0820164e-07,2.2720803e-07,0.999995,1.6248938e-10,4.0332243e-06,0.0007910056,0.00067361945,0.9982932,1.3657356e-05,0.00022849783,4.4867253e-08,1.3400529e-08,1.0,7.344925e-14,3.526886e-09,3.8728613e-05,2.8788495e-06,0.999647,9.686659e-08,0.00031124643,2.3452616e-05,1.6641063e-06,0.9999453,1.8787203e-08,2.9616504e-05,1.849335e-07,1.3624591e-08,0.99999964,1.1611302e-09,1.3755968e-07,1.0147496e-06,1.5228439e-09,0.99999845,1.8492063e-10,5.031027e-07,6.785549e-06,0.0001022378,0.9998908,1.3750285e-09,1.7761691e-07,1.7978246e-05,8.8862e-07,0.99993086,6.987221e-09,5.027172e-05,1.7614482e-05,1.990257e-07,0.9999796,2.4693547e-06,8.175121e-08,2.378802e-05,2.3779478e-06,0.99987936,6.25162e-05,3.1977146e-05,0.0032464196,1.990373e-05,0.99658465,4.257346e-06,0.00014467373,2.4279421e-07,2.1299567e-07,0.99998546,4.6800365e-06,9.412676e-06,7.4889095e-07,7.309107e-08,0.99999905,1.5576777e-08,1.3665412e-07,1.3035698e-06,2.6298249e-08,0.99999857,7.374938e-11,8.683088e-08,9.649704e-08,6.084906e-10,0.99999976,1.001071e-10,1.7876998e-07
2,2,even,5.1077793e-21,1.0,1.5309323e-22,2.9347096e-19,2.2047859e-15,3.6669798e-18,1.0,1.163796e-16,1.6939215e-15,2.6542206e-14,2.3835725e-11,0.9999994,2.0618765e-12,1.4240355e-10,5.378297e-07,9.5046785e-17,1.0,2.249129e-15,1.88338e-15,3.183088e-12,9.6388e-15,1.0,4.661871e-12,1.7589195e-14,1.3198304e-09,1.5636666e-09,0.9999994,1.1140412e-10,5.5886296e-09,6.0523126e-07,6.382065e-17,1.0,2.1642726e-13,1.23333876e-14,6.9032383e-13,7.1347533e-10,0.9999999,3.3498825e-11,8.267983e-11,7.087237e-08,2.6769604e-19,1.0,1.2785926e-19,8.5025236e-20,1.250458e-13,1.3108042e-12,1.0,4.6025558e-14,8.7298155e-15,9.2480046e-10,6.464939e-16,1.0,4.9622674e-17,9.809271e-17,1.7823801e-11,2.380927e-13,0.9999999,6.632264e-12,2.5635608e-10,7.8620815e-08,2.114129e-09,0.9999999,5.032277e-09,3.4866006e-09,1.5476759e-07,9.853284e-13,1.0,1.639175e-13,2.0719315e-15,3.5733023e-09,1.2861475e-12,0.9999999,1.0795583e-10,5.649798e-13,1.4083352e-07,2.312533e-17,1.0,4.0274946e-19,1.8934924e-17,2.3318971e-14,1.1220948e-13,1.0,3.091469e-16,2.0355153e-18,5.6062945e-12,3.2470127e-10,0.99999857,1.4941742e-11,9.463728e-10,1.4311098e-06,3.891981e-13,1.0,1.1721627e-17,5.783578e-14,2.3416472e-08,2.7079855e-10,1.0,7.470038e-12,1.186883e-09,4.6984887e-08
3,8,even,0.0042020506,0.004713345,0.0001062202,0.0062269606,0.9847514,0.009110045,0.0013353233,0.00054816564,0.0007690878,0.98823744,0.00014187954,0.0039618025,2.8591838e-05,0.001385912,0.9944818,0.006672498,0.0041185464,0.007971842,0.010717918,0.9705192,0.000802495,0.00015373294,0.00057353865,0.023174085,0.97529614,0.0029416292,0.0040472522,0.015253427,0.009259144,0.9684986,0.0015346748,0.009987257,0.00047615875,0.011177999,0.97682387,0.018410336,0.00089338486,0.028127698,0.0065728985,0.9459957,0.00062465307,0.002743367,0.000895067,0.0015309185,0.994206,0.0011872475,0.00014406683,0.034883052,0.02376788,0.9400177,0.019457368,0.0027828377,0.0022214921,0.0071884245,0.96834993,0.00309228,0.00042728335,0.0164509,0.0006968493,0.9793326,0.0030301525,0.004621149,0.00034189428,0.0005025099,0.99150425,0.00076262903,0.00648525,2.331756e-05,0.000592481,0.99213636,0.004895686,0.00017531363,0.00052260753,0.001017681,0.99338865,9.403729e-05,0.00034838158,1.1475791e-05,0.00021628133,0.9993298,1.5716318e-05,2.9847462e-05,7.1801005e-06,5.1139774e-05,0.99989605,0.00012749755,0.00021951272,1.8138613e-05,0.00014062432,0.9994942,0.0037079004,0.0015000879,0.010901581,0.0006522646,0.9832382,0.0046045524,0.019730233,9.895663e-05,0.01954221,0.95602405
4,9,odd,2.1917098e-05,6.0203893e-06,0.9999641,5.717504e-06,2.206911e-06,6.607295e-05,5.1485417e-06,0.9999236,6.62251e-07,4.4892977e-06,8.910533e-05,3.8096798e-06,0.99990356,1.8282722e-06,1.6546686e-06,0.0006180048,0.0023360176,0.99681735,9.75311e-06,0.0002188334,0.00026223657,6.4628694e-06,0.99961853,5.2641212e-06,0.000107510474,2.7341006e-05,0.00035204983,0.9995301,3.6635014e-05,5.3964526e-05,1.3367646e-05,8.036453e-05,0.999902,4.133366e-06,1.7425803e-07,0.001188734,5.7417426e-05,0.9985607,2.22115e-07,0.00019279285,6.1109486e-06,0.0005172499,0.99947256,6.111394e-07,3.4903182e-06,2.2547154e-05,5.2930944e-05,0.9999169,2.981419e-06,4.6256896e-06,0.00010634458,0.0002007577,0.9996631,9.0632075e-06,2.071509e-05,0.0007536669,0.0016163932,0.99739265,0.00012631342,0.00011100031,0.0015587526,0.001057468,0.997303,6.31324e-05,1.7567183e-05,0.00035301002,0.007358108,0.9917692,0.00020612446,0.0003136848,0.00014545067,0.0065807696,0.9924212,7.831501e-05,0.0007742285,2.089626e-05,2.6115393e-05,0.99995184,7.077616e-08,1.0745978e-06,0.0055370587,0.0011464368,0.9925915,0.0004327199,0.00029221442,0.00010842264,0.00035566604,0.99902105,0.0002041759,0.00031073074,2.209946e-05,0.00024714338,0.9996377,6.667754e-05,2.630272e-05,0.0006511876,0.00080037763,0.997038,7.231434e-05,0.0014381655
5,0,even,1.0,3.720809e-13,1.3989956e-11,6.5287793e-09,7.5613296e-14,0.9999995,1.04181094e-10,8.7427643e-10,5.0730836e-07,4.6418282e-11,0.99998903,7.694286e-06,5.274445e-10,3.205627e-06,4.9609845e-09,1.0,2.246013e-11,1.6374666e-12,6.6609857e-10,4.0165786e-15,0.99999976,8.618007e-08,2.8320338e-10,1.2178899e-07,1.459668e-09,1.0,1.6966258e-10,3.2118768e-14,1.2474137e-09,5.0003985e-12,0.9999976,1.514039e-08,1.7591321e-06,4.601126e-07,7.5048526e-08,0.99999774,2.1239403e-07,1.5152055e-07,1.9280512e-06,6.331731e-10,0.9999999,2.467667e-10,1.3690354e-14,1.18040475e-07,1.4099961e-13,1.0,5.5311485e-08,1.8476163e-13,2.8229497e-08,1.6593232e-09,1.0,7.524915e-14,2.0130325e-15,1.7929794e-09,5.7280926e-18,0.99999905,9.563228e-07,5.633688e-08,4.2919204e-08,4.2931237e-08,0.9999999,1.250028e-10,6.378193e-10,7.128382e-08,3.9805277e-11,1.0,1.0073792e-09,5.3222877e-12,2.809655e-08,1.56437e-11,1.0,6.009977e-11,8.2268107e-16,5.551918e-08,2.2739489e-15,0.99999,7.663142e-06,3.8613218e-10,2.3507305e-06,1.4674671e-09,1.0,9.357232e-10,3.617412e-15,2.872549e-09,5.704492e-13,1.0,9.543306e-12,2.515133e-14,8.1610085e-10,4.820304e-13,1.0,4.5835068e-12,9.224816e-15,1.9022365e-11,2.24892e-14,1.0,1.1838919e-09,9.989377e-13,4.3129162e-08,8.136164e-12
6,0,even,1.0,3.7421016e-10,3.4034726e-15,1.842693e-13,2.2997148e-14,1.0,5.5528702e-12,2.5596544e-16,5.5826025e-13,9.497409e-14,1.0,8.1385186e-13,2.3689712e-14,9.6031835e-11,3.1339704e-13,0.99999833,8.5211994e-08,4.536784e-08,2.0381126e-09,1.5977243e-06,1.0,7.421636e-09,5.414553e-12,2.22867e-11,2.4970268e-10,1.0,1.4980811e-10,6.746719e-10,9.273993e-09,4.368586e-08,0.99999964,3.2707845e-07,8.2779495e-12,2.2247473e-09,1.6975906e-09,0.9999999,1.1443025e-07,7.449083e-11,3.655421e-11,2.1742812e-09,0.99999964,6.8642154e-09,4.1180833e-11,3.092107e-07,5.294024e-10,1.0,4.955875e-09,1.1799596e-10,2.7003187e-08,4.550404e-09,1.0,9.824543e-11,4.1269424e-13,1.2232807e-11,2.4931838e-12,0.9999987,1.8736914e-09,1.3219024e-12,1.3054885e-06,9.774163e-10,0.9999918,4.564521e-06,7.479997e-09,4.489473e-07,3.2128344e-06,1.0,1.28169555e-08,6.1170886e-12,8.709518e-09,6.593245e-11,0.99999464,1.7289826e-06,1.5005747e-07,8.7257257e-07,2.56732e-06,1.0,2.5192794e-08,2.6944453e-14,1.9746308e-08,7.72951e-12,1.0,2.0172346e-10,2.1943688e-11,8.02322e-12,1.5369738e-11,0.99999917,3.180691e-10,1.8337491e-11,8.1390107e-07,3.0764352e-10,1.0,2.281775e-10,7.81877e-13,6.603036e-11,1.6204979e-10,0.99999785,1.8883953e-06,8.531712e-09,6.6121784e-09,1.9494873e-07
7,1,odd,0.0046456764,0.36429453,0.016138023,0.0058991853,0.6090226,0.0029538367,0.20611711,0.004540688,0.0006125303,0.78577584,0.007950684,0.012191283,0.007867276,0.001455369,0.9705354,0.0072527304,0.0931582,0.2956755,0.00073262,0.603181,0.0030809864,0.38018966,0.011365985,0.0010685833,0.60429484,0.0018323209,0.45040983,0.0026886626,0.00074632815,0.5443229,0.038409013,0.8007764,0.0014538057,0.004479907,0.1548809,0.007488523,0.1914883,0.0022202693,0.0004139463,0.79838896,0.002436968,0.03838109,0.0076262993,0.0001272369,0.95142835,0.001165345,0.9507365,0.0011877754,0.0012366297,0.04567374,0.00070436345,0.10852421,0.0015405472,0.0008180325,0.88841283,0.0016589042,0.26232168,0.0018829982,2.504345e-05,0.7341114,0.012703671,0.369723,0.020744989,0.010863431,0.5859649,0.01312528,0.75621045,0.0018898592,0.0012283657,0.22754607,0.009290791,0.69829684,0.0009574191,0.000802171,0.29065284,0.00089121837,0.18075784,0.0008832992,2.8763681e-05,0.8174389,0.007258616,0.8581839,0.009711726,0.0078123105,0.117033385,0.006288778,0.031667262,0.0022689274,0.0009303049,0.95884466,0.0009079039,0.030112894,0.00042610668,0.00067434495,0.96787876,0.0009223354,0.21886726,0.002193583,0.0012883485,0.77672845
8,3,odd,1.3275611e-05,0.99998474,5.7440737e-08,5.5963703e-08,2.0451382e-06,9.2687515e-06,0.9999881,3.5092513e-12,1.6933555e-11,2.667428e-06,0.0060167774,0.99396497,4.5494173e-09,4.4186763e-08,1.8240456e-05,0.00010180956,0.9998981,1.1596961e-08,1.2159221e-07,2.4761968e-08,0.00012550986,0.9998745,3.2501266e-08,2.8580048e-11,5.299852e-08,5.066922e-06,0.9999949,7.4153997e-13,4.5137314e-12,5.3196705e-09,2.9236476e-06,0.99997437,1.2390451e-08,3.5294437e-07,2.2240973e-05,4.6299458e-05,0.99995303,5.2992827e-10,7.2487995e-11,6.8707004e-07,5.1293495e-07,0.9999745,6.388913e-11,3.2319267e-10,2.498401e-05,5.693448e-07,0.9999751,7.1615824e-11,3.2034674e-08,2.4262226e-05,3.5908318e-10,1.0,1.762939e-15,7.825554e-14,1.2320029e-11,0.015829932,0.9841697,1.6259033e-10,3.3506384e-10,3.4373585e-07,0.0005030774,0.9994375,1.080553e-07,3.6436995e-07,5.8965117e-05,0.008828418,0.99115,8.115682e-08,1.6217964e-08,2.1486654e-05,4.593327e-05,0.99995375,1.3207085e-09,3.6096544e-09,3.4146623e-07,5.67679e-06,0.99999416,5.150157e-10,1.2706233e-11,8.927634e-08,2.1965706e-08,1.0,3.793559e-09,2.5254612e-12,2.9002257e-08,8.583063e-07,0.9999988,1.09113265e-11,1.2863865e-12,3.3122384e-07,0.0002255146,0.99977356,3.9247534e-09,3.897334e-08,9.108849e-07,4.175625e-06,0.9999726,2.6497033e-09,4.4651807e-09,2.3244169e-05
9,0,even,0.99999976,4.0656207e-08,1.2051643e-09,1.8421727e-07,7.624238e-10,1.0,2.5825007e-13,3.1043516e-15,5.108568e-10,1.8001812e-14,1.0,5.938962e-11,6.889474e-11,8.1486273e-10,9.625408e-11,1.0,3.497064e-09,4.7753563e-12,1.7884009e-11,4.7510584e-10,0.99998534,1.21731255e-05,4.0180126e-08,1.5710322e-08,2.4583578e-06,1.0,5.478668e-09,3.236832e-11,2.9045992e-08,1.2117802e-12,1.0,7.2817268e-09,4.4865136e-11,1.353845e-10,1.9137711e-09,0.99999976,8.529719e-11,8.599439e-11,2.2513501e-07,7.6334344e-10,1.0,5.790952e-10,7.436103e-09,7.0606934e-09,7.3924294e-10,1.0,2.4686318e-14,1.9367701e-16,4.5939065e-15,4.464487e-16,1.0,1.1010576e-08,1.1654996e-09,2.1024236e-09,2.1657871e-10,1.0,2.5226248e-09,7.0270385e-13,5.9165305e-11,5.4460787e-13,1.0,9.82451e-10,1.4411494e-10,5.1635318e-11,5.242325e-11,1.0,4.1942022e-10,2.2893363e-12,2.903483e-10,2.0387827e-11,0.99999964,2.0937003e-08,1.1117898e-09,4.1533718e-07,3.1692837e-10,0.9999908,4.7702288e-06,8.3452036e-08,3.7981924e-06,5.2916073e-07,1.0,3.0955757e-12,3.123995e-11,2.4079305e-10,1.7979276e-13,1.0,8.255921e-09,2.987517e-11,5.6589608e-11,6.162806e-09,1.0,3.9131134e-09,1.1872277e-12,4.0342844e-11,1.02388835e-11,1.0,1.5418339e-10,2.3762078e-10,1.7710564e-13,3.4502302e-16
