idx,label,parity,prob_0,prob_2,prob_4,prob_6,prob_8,prob_misc,top1_class_idx
0,1,odd,0.001325825,0.6818703,0.0119709615,0.000119905206,0.2996003,0.005112671,1
1,9,odd,0.0014522948,4.679578e-06,0.99852103,1.3437673e-07,1.9122243e-05,2.7202132e-06,2
2,2,even,4.239103e-14,1.0,1.0072781e-15,9.226143e-17,3.8856856e-12,5.1600315e-13,1
3,8,even,0.021393878,0.00014519026,0.00022368415,0.00093395164,0.9772429,6.047353e-05,4
4,9,odd,3.586121e-05,6.140904e-05,0.9998958,6.995104e-07,2.5244399e-06,3.7501293e-06,2
5,0,even,1.0,3.2524886e-15,1.7753575e-14,5.3479265e-10,1.9409108e-17,5.4383924e-11,0
6,0,even,1.0,2.275766e-12,1.8796579e-12,3.8982945e-10,1.2793397e-14,2.0823644e-10,0
7,1,odd,0.0032802199,0.3522521,0.0072730696,0.00037484206,0.6317958,0.0050239465,4
8,3,odd,1.0048214e-05,0.9999896,2.905574e-10,1.1783478e-11,2.0993207e-07,7.5362784e-08,1
9,0,even,1.0,5.112491e-12,3.2535952e-10,3.8169947e-09,1.232394e-13,2.838601e-09,0
10,0,even,0.9999999,1.3572409e-08,7.554342e-09,3.0980097e-08,2.1033128e-10,9.023571e-08,0
11,8,even,0.00030390668,0.00023415209,1.9555548e-05,0.00066351605,0.9987489,3.0036079e-05,4
12,4,even,2.9772282e-06,1.3072541e-06,0.9999933,3.4454814e-07,1.7637391e-06,2.6145383e-07,2
13,1,odd,0.0012591919,0.02142446,7.700611e-05,3.3619795e-05,0.97693616,0.00026960002,4
14,2,even,0.0006317218,0.99205446,2.851666e-09,2.6523782e-07,0.007306939,6.578152e-06,1
15,3,odd,0.00018503533,0.013646409,6.146573e-07,1.9508805e-06,0.98615336,1.2603034e-05,4
16,6,even,1.1617569e-06,5.7976705e-12,4.5112405e-10,0.9999988,4.596414e-12,3.399414e-11,3
17,8,even,4.1828366e-06,7.788044e-06,1.201802e-06,1.0837948e-06,0.99998534,3.0749655e-07,4
18,7,odd,1.8590096e-06,0.9995141,0.00042754592,1.2811693e-10,5.3334767e-05,3.063522e-06,1
19,6,even,1.7938079e-07,2.8156202e-07,1.1801926e-07,0.9999994,2.0142096e-08,8.424869e-09,3
20,9,odd,3.6459795e-05,8.742935e-06,0.9783004,5.156828e-11,0.021653319,1.0046328e-06,2
21,8,even,7.656884e-09,5.1539956e-07,7.550161e-09,1.5331084e-11,0.9999995,2.5020996e-09,4
22,8,even,6.542692e-05,1.08105605e-05,2.0925215e-06,3.8586772e-06,0.9999161,1.7030391e-06,4
23,1,odd,0.00037032453,0.00039814893,6.126857e-06,8.376789e-05,0.9991153,2.6321159e-05,4
24,0,even,1.0,6.2762546e-14,4.144061e-12,7.999883e-09,1.8019599e-15,8.796254e-11,0
25,7,odd,0.5702471,0.27057314,0.07400174,4.396179e-06,0.0825443,0.0026293215,0
26,7,odd,0.005002448,0.45773286,0.0832007,8.855518e-09,0.43830016,0.015763825,1
27,6,even,5.4396945e-09,1.5353061e-08,7.499168e-10,1.0,1.7284743e-08,6.997006e-11,3
28,1,odd,0.0004952205,0.00073065306,9.169578e-06,0.00020840726,0.9984768,7.9795755e-05,4
29,4,even,3.1415055e-08,6.854226e-07,0.9999919,2.0204356e-08,7.316351e-06,9.021382e-08,2
30,3,odd,3.936586e-05,3.6927745e-06,0.00082239154,2.1346636e-06,0.9991229,9.570604e-06,4
31,3,odd,0.0004007583,2.3241106e-05,0.9969777,2.0532063e-07,0.0015203787,0.0010775524,2
32,9,odd,0.0015938405,0.00023609189,0.9952337,1.0101155e-05,0.0027228396,0.0002035115,2
33,5,odd,1.1594554e-08,5.166382e-07,1.9729695e-12,4.055751e-09,0.9999995,2.2352517e-10,4
34,4,even,1.8591786e-06,5.2669037e-07,0.9998623,7.2546534e-08,0.00013490862,1.816503e-07,2
35,7,odd,0.99687237,0.0011173717,0.0019354817,1.4410207e-08,2.7263863e-05,4.7511578e-05,0
36,1,odd,0.0026906142,0.0059276586,0.091477886,0.0044340855,0.89375335,0.0017163883,4
37,7,odd,0.0013030986,0.96681947,0.023381466,1.2438741e-07,0.0074165883,0.001079366,1
38,2,even,8.2326715e-11,1.0,3.4380826e-13,1.9954952e-13,2.8080557e-10,1.10913785e-10,1
39,3,odd,0.17928359,0.00565722,3.0418698e-07,4.1341384e-05,0.8149882,2.9362327e-05,4
40,7,odd,0.050633617,0.004536535,0.87927645,4.3245414e-08,0.065349035,0.00020431586,2
41,5,odd,1.06208695e-07,3.704365e-07,1.7895109e-09,4.0082337e-08,0.9999995,4.3524877e-09,4
42,5,odd,4.3665858e-07,2.2110357e-06,1.0109521e-07,1.5978189e-06,0.9999956,1.3051935e-07,4
43,3,odd,0.0031344518,0.9956026,8.9726493e-10,1.5274277e-07,0.0012606202,2.1778042e-06,1
44,2,even,1.999328e-09,1.0,9.7098015e-12,7.5362514e-13,6.2606325e-09,4.840091e-10,1
