idx,label,parity,a00_c0,a00_c2,a00_c4,a00_c6,a00_c8,a01_c0,a01_c2,a01_c4,a01_c6,a01_c8,a02_c0,a02_c2,a02_c4,a02_c6,a02_c8,a03_c0,a03_c2,a03_c4,a03_c6,a03_c8,a04_c0,a04_c2,a04_c4,a04_c6,a04_c8,a05_c0,a05_c2,a05_c4,a05_c6,a05_c8,a06_c0,a06_c2,a06_c4,a06_c6,a06_c8,a07_c0,a07_c2,a07_c4,a07_c6,a07_c8
0,1,odd,0.0004640107,0.039951805,0.95937663,0.00014032563,6.71926e-05,0.0015872243,0.8769918,0.02048125,0.00428947,0.09665032,0.00032590094,0.026555251,0.9725381,0.00016324532,0.00041751517,0.008762603,0.07909731,0.00094807113,0.0071549225,0.90403706,0.0033243382,0.78386784,0.017486965,0.003900276,0.19142053,0.00030497584,0.018001355,0.98164326,3.5373712e-05,1.51421345e-05,0.00096842303,0.21522725,0.7832831,0.00018938437,0.00033189703,0.020534933,0.21745805,0.022056099,0.01447734,0.72547364
1,9,odd,0.00018662946,0.0003997957,0.9960486,0.0004963512,0.0028685594,3.0859788e-08,1.0102721e-07,0.9999999,4.560448e-09,1.1528155e-09,3.7698737e-05,5.990185e-06,0.99986124,8.3712126e-05,1.1357296e-05,0.00097221683,4.2793796e-05,0.99896574,6.798798e-06,1.2508101e-05,1.5089181e-05,5.905016e-07,0.99998415,3.4181983e-08,1.5737456e-07,0.00016423734,0.000754227,0.99338746,0.0006042007,0.0050898213,0.32167572,0.00025242206,0.47317228,0.031153584,0.17374602,0.0042034276,6.036385e-05,0.99524504,1.9046787e-05,0.0004721083
2,2,even,9.293143e-11,1.0,2.9776051e-12,4.6137383e-13,1.246609e-10,3.3651429e-15,1.0,1.2773416e-16,6.0974366e-16,4.114032e-12,8.806721e-13,1.0,4.3066623e-11,3.15662e-15,1.7717186e-13,3.1795032e-11,1.0,8.1555773e-10,5.026346e-10,8.4439983e-10,5.2957037e-13,1.0,2.0537934e-11,2.8633752e-13,3.373099e-11,1.0516339e-10,1.0,6.9716654e-12,2.7802798e-13,2.236079e-11,8.263691e-12,1.0,1.2730354e-10,3.97729e-10,2.3578499e-11,4.580925e-06,0.98434824,0.014974795,0.0006700235,2.3926605e-06
3,8,even,0.0031046479,0.16159649,0.01111078,4.8973e-05,0.8241391,8.1363614e-05,1.9195068e-05,0.002749131,2.6468915e-05,0.9971238,0.00197086,0.0012468339,0.00011165995,0.00029994673,0.9963707,0.33606252,0.0015488283,0.0001082527,0.053099226,0.60918117,0.010230609,5.657713e-05,6.3039115e-05,0.0013137026,0.988336,0.0026081277,0.56955373,0.0073247794,1.1855714e-05,0.42050153,0.00029339953,0.42618558,5.270125e-05,6.4434236e-05,0.57340384,0.07364943,0.00027047418,6.360018e-05,0.8986976,0.027318815
4,9,odd,0.0039817155,0.00082304515,0.9951656,2.6266305e-05,3.3969266e-06,0.00024442442,7.083256e-05,0.9994873,0.00019068462,6.7546794e-06,0.08390835,0.00031436558,0.91525275,0.00049042254,3.413122e-05,0.00013828673,0.0005062706,0.9970354,1.6681773e-06,0.002318372,3.5955618e-05,4.5836783e-05,0.9999081,1.5065566e-06,8.597664e-06,0.009887852,0.0024959787,0.98755544,4.7483663e-05,1.3259165e-05,0.0021213582,0.9401238,0.041145492,2.2292752e-06,0.016607072,0.0057326653,0.07721145,0.6632278,2.0038564e-05,0.2538081
5,0,even,0.9999963,3.3243932e-06,2.6085048e-10,3.9219316e-07,8.599485e-09,0.99998665,2.8712905e-06,2.3144526e-06,7.82084e-06,3.6970332e-07,1.0,5.045405e-09,2.1605598e-10,1.7192253e-08,1.653029e-11,0.99999976,8.1706215e-09,3.1673476e-08,2.2930867e-07,3.4981754e-10,1.0,5.109913e-10,5.3592165e-11,2.6110012e-08,1.6693879e-11,0.9998086,0.00019057882,1.2688488e-09,8.3040595e-07,3.9978033e-08,0.99766976,0.0008546381,9.452049e-06,0.0012569461,0.00020922873,0.99999344,7.613557e-09,5.0445163e-07,6.1346523e-06,2.0844022e-09
6,0,even,0.98790246,3.256855e-05,1.6891447e-05,0.00050370937,0.011544316,0.99999964,3.4213056e-07,3.6211173e-08,3.463397e-08,7.8607405e-09,0.9987147,0.00022792471,1.2301526e-06,6.1432744e-05,0.0009948025,0.99999297,5.7697553e-06,9.7065296e-08,1.0425795e-06,1.3847908e-07,1.0,1.6796845e-08,1.7203583e-10,2.2063961e-08,1.4036716e-09,0.03025904,0.00026533855,7.3319745e-05,0.00085954857,0.96854275,0.45320693,1.6852323e-07,4.7483148e-08,0.5467819,1.092934e-05,0.99983156,5.5766595e-06,3.0685337e-06,0.00015640748,3.280895e-06
7,1,odd,0.05210328,0.67901105,0.25039807,0.0023793231,0.016108282,0.0022199405,0.015468291,0.0010058236,0.004757463,0.9765485,0.008345554,0.5100295,0.48050445,0.0004948099,0.00062571577,0.0007709747,0.032724794,0.00016333912,0.0027151962,0.96362567,0.0027468908,0.6244735,0.0011115061,0.001953525,0.3697146,0.03748478,0.39786473,0.5629888,0.00043806699,0.0012236342,0.002596409,0.9747014,0.02244049,3.753718e-05,0.0002241673,0.00010741965,0.99566334,0.00011557034,0.00019118145,0.0039224075
8,3,odd,2.7911938e-05,0.9997881,1.4217584e-07,2.216686e-10,0.00018388037,1.1410123e-05,0.9782413,3.5699792e-09,2.2404089e-11,0.02174729,1.01011594e-07,0.99999976,6.150611e-14,2.5513847e-14,1.2688375e-07,6.0593345e-07,0.9999993,9.67926e-13,8.8507084e-11,7.682794e-08,9.366023e-08,0.99999976,3.4748537e-14,4.017164e-13,9.60043e-08,1.2061849e-05,0.99998116,1.8913356e-08,1.521257e-11,6.8471727e-06,0.08519227,0.9148065,5.2018784e-10,9.696647e-07,2.3892522e-07,6.588503e-06,0.99815816,1.5143808e-09,0.0018353317,3.3409005e-08
9,0,even,0.9999994,3.6903947e-07,3.2031828e-09,1.0626561e-07,1.14279366e-07,0.11971441,0.00033226446,0.87990963,3.0246904e-06,4.0565625e-05,0.9999893,4.693703e-07,1.920258e-06,5.3222243e-07,7.815613e-06,0.9999999,1.3368586e-07,1.6208076e-09,2.378417e-09,1.5608388e-10,0.9999999,1.0636402e-07,1.7926519e-08,7.1398762e-09,2.7035327e-09,0.9999995,2.6578815e-07,1.6797597e-09,8.258204e-08,8.3857415e-08,0.9999291,4.96781e-06,9.854855e-10,6.54596e-05,4.2561788e-07,0.9999999,1.0099599e-07,2.2281792e-09,2.2530568e-08,9.645512e-11
10,0,even,0.9967775,0.00070761173,1.2742182e-06,0.0015961233,0.0009174322,0.99927336,0.00057194894,0.00012576679,2.6835072e-05,2.1557023e-06,0.7281278,0.0012972731,4.972247e-05,0.2677902,0.00273495,0.95475465,0.03628395,0.008676148,0.00017714447,0.00010811855,0.9999949,3.650291e-06,7.5551753e-07,6.314055e-07,1.085735e-07,0.45174924,0.01294658,1.6863647e-05,0.062689856,0.47259742,0.96259606,2.7337076e-06,3.2188404e-06,0.03735864,3.9397295e-05,0.56833553,0.0035504897,0.4275537,0.00045097977,0.00010930845
11,8,even,1.3674918e-05,0.004424397,1.2108264e-06,0.00020749096,0.9953532,0.0006088132,0.00040888388,1.05439e-06,0.00014279345,0.9988385,5.579935e-06,1.0700502e-05,1.3177071e-06,6.169796e-06,0.9999763,0.0052670483,0.001331022,4.1314102e-05,0.9842827,0.009077877,0.0005365534,0.00021481754,1.3512494e-05,0.0018551052,0.99737996,1.4760254e-05,0.0047992757,2.521156e-06,0.00031735917,0.994866,0.00010674402,0.3203031,0.00013267592,0.076819904,0.6026375,0.00021459104,4.493228e-05,2.6256377e-05,0.99950707,0.00020720875
12,4,even,0.0012591815,1.3138144e-05,0.98030055,0.017859206,0.0005680271,1.2256763e-08,9.99369e-08,0.9999999,2.1370484e-08,3.2025846e-10,0.009487829,0.0015306586,0.98387367,0.004302929,0.00080494024,3.8317285e-07,2.256338e-06,0.9999939,4.5536285e-07,2.981057e-06,4.638047e-08,3.1522305e-07,0.99999964,9.560314e-09,1.005523e-08,0.0071787355,0.00014435418,0.7860477,0.19696884,0.009660399,0.00010423476,1.3797487e-06,0.8167674,0.00062882586,0.18249816,1.2989711e-05,2.769855e-06,0.9401455,1.2459042e-05,0.059826285
13,1,odd,0.0022000019,0.3853996,0.59145457,0.00016081525,0.020784974,0.0026200742,0.579206,0.028567316,0.00034288535,0.38926375,0.0019356858,0.24459034,0.53757316,0.0003261502,0.21557474,0.012318661,0.07285805,9.044516e-06,0.021200988,0.8936133,0.0015472407,0.18767725,6.20418e-05,0.00032025273,0.8103932,0.0016405522,0.09984871,0.8885988,5.3446623e-05,0.009858397,0.0005118076,0.5178533,0.4733892,0.0074163894,0.0008292237,0.0037742055,0.046065718,0.00019888958,0.04287462,0.9070866
14,2,even,1.9548239e-07,0.9999851,5.3572637e-12,8.734066e-11,1.4639043e-05,0.0020337505,0.36987317,1.3877109e-06,3.994323e-06,0.62808764,1.489804e-06,0.9999851,5.254209e-11,1.5377492e-10,1.3505502e-05,0.021262387,0.973237,9.0675854e-07,0.0044539827,0.0010457337,0.00044379247,0.9987503,2.3839872e-09,2.935648e-07,0.0008056274,4.9626827e-08,0.9999989,3.4586607e-12,1.5392163e-11,1.0904032e-06,5.321369e-08,0.999997,4.4480595e-13,8.423371e-09,3.0327708e-06,7.879963e-06,0.9796973,1.3129556e-09,0.020293731,1.1553378e-06
15,3,odd,2.7214464e-06,0.00063189183,4.726891e-06,6.97681e-08,0.9993606,0.0013957182,0.041767925,0.022942951,1.6238488e-06,0.9338918,8.819329e-07,1.7171875e-05,1.7197324e-07,4.2143537e-08,0.99998176,0.087714106,0.04431243,0.000115370036,0.008656462,0.8592016,0.0016996762,0.010818385,5.988811e-06,5.7164845e-05,0.9874187,9.772886e-07,0.00015946808,3.6704791e-06,1.5783838e-08,0.99983585,0.0022826951,0.0015634903,5.872728e-06,0.94901687,0.04713111,0.011102786,0.0029308945,0.56875044,0.40215853,0.0150573775
16,6,even,0.00010554737,0.016556498,4.7569632e-08,0.9827792,0.00055874826,0.0009327707,0.0003319923,0.0011795445,0.99714893,0.00040682484,0.00081188517,0.071046315,1.5347092e-05,0.9263748,0.0017517222,0.25770307,6.843314e-08,0.004000748,0.7382961,6.1365153e-09,6.3802986e-06,3.6622236e-08,1.3582469e-06,0.99999225,3.6618655e-09,3.2125216e-05,0.9259261,7.334239e-09,0.07285911,0.001182716,0.00012344052,0.0003257803,4.5493633e-07,0.9995204,2.9941746e-05,0.09261204,2.1947753e-07,0.0012684455,0.90611935,1.3593977e-08
17,8,even,0.00021125704,9.468338e-05,0.0001850294,1.9299585e-05,0.99948967,0.056410123,0.19871373,0.16480793,0.00022179841,0.57984644,0.44816187,0.2918951,0.025704399,0.0032792098,0.23095936,8.659715e-05,0.0012282797,3.864441e-05,3.0582843e-05,0.99861586,8.7874505e-05,0.00017592954,6.82029e-05,5.746205e-06,0.9996623,0.00041615078,0.00016956395,0.00015579973,3.533731e-05,0.9992231,1.00313564e-07,2.9640861e-07,6.062964e-08,8.976547e-07,0.9999987,2.6620863e-05,6.818204e-05,1.277696e-05,2.2133123e-05,0.9998703
18,7,odd,0.0007231003,0.15770245,0.8414596,1.3162169e-06,0.00011357033,0.00030008567,0.78247994,0.21528645,3.4249664e-05,0.0018993617,0.00097530615,0.98691434,0.011677262,5.995277e-07,0.00043245402,9.036271e-05,0.9306166,0.02140639,1.6410909e-06,0.047884863,1.8373517e-05,0.9968273,0.002533057,1.4556302e-07,0.00062115246,0.0015585994,0.19046822,0.80787474,6.6900026e-07,9.774967e-05,3.6127578e-05,0.9977629,0.00015630672,1.48053845e-08,0.0020446705,0.0002270814,0.934983,0.0022137093,2.0972242e-05,0.06255525
19,6,even,0.0008986694,0.0081936335,0.0001183824,0.98946744,0.0013218671,0.0058423197,0.016110921,0.0008508154,0.9732958,0.003900063,0.004522648,0.0021789623,0.0007164407,0.99152434,0.0010576862,3.4701864e-06,2.1280523e-06,1.5952593e-06,0.9999926,1.8803605e-07,1.4035418e-05,2.8661154e-05,5.3543763e-06,0.9999511,8.242765e-07,0.0010269169,0.021405766,0.0001230387,0.9744289,0.0030154674,3.5850298e-06,0.00018987639,6.0822413e-06,0.9997981,2.3410116e-06,7.1365334e-06,5.4687757e-06,7.6134684e-06,0.99997926,4.6042288e-07
20,9,odd,5.410325e-06,1.4768642e-07,0.99999297,1.0418846e-08,1.4451059e-06,2.5478306e-10,6.391086e-11,1.0,1.5535141e-11,7.187375e-12,1.193268e-05,1.9179839e-07,0.99998724,3.197262e-08,6.1746283e-07,0.00012615843,0.0005471223,0.68048155,1.2539738e-07,0.31884497,1.6752905e-06,2.0730977e-06,0.9999716,5.4624316e-10,2.4727458e-05,1.1170952e-05,5.3854103e-07,0.9999832,2.6568383e-08,5.1719794e-06,0.0005963151,1.7559349e-05,0.00302775,1.0708667e-06,0.99635726,2.5493684e-06,3.8144644e-05,4.0810362e-05,8.143711e-09,0.99991846
21,8,even,0.00011627867,2.9417883e-05,0.28327844,9.5926595e-08,0.7165758,0.0005295695,0.00040473932,0.0020943184,2.770487e-06,0.99696857,0.00013330317,0.012153156,0.00014952986,6.3896584e-07,0.9875634,2.4372769e-06,0.020229116,3.9457174e-08,3.1699592e-08,0.97976834,1.3493708e-06,0.00013106958,2.854574e-07,2.3774032e-09,0.9998673,0.00010026901,2.023481e-05,0.17508888,6.83666e-08,0.82479054,1.7921007e-09,6.3133947e-09,2.3502897e-10,4.538598e-09,1.0,7.260385e-08,9.721744e-06,4.3361464e-10,3.47304e-09,0.9999902
22,8,even,0.009684308,0.022241008,0.0014130328,0.00781947,0.95884216,2.3729544e-05,1.3273648e-05,1.8284994e-05,2.2257825e-06,0.99994254,0.0009609354,0.01574042,0.0010783359,0.00013129601,0.98208904,0.0007101586,0.005986872,1.3926339e-05,0.004485085,0.9888039,5.150584e-05,0.00014371244,2.9802854e-06,2.0947089e-05,0.99978083,0.09293216,0.21106026,0.014803084,0.047719304,0.63348514,0.0066294293,0.9584085,0.001170002,0.026912175,0.0068798843,0.078433886,0.08589183,0.0020566208,0.79263836,0.040979266
23,1,odd,0.00778418,0.51032186,0.46337774,0.00071164157,0.017804585,0.0031476098,0.004200928,0.0013675619,0.0013623745,0.98992157,0.0011595114,0.20136432,0.786855,0.00012081855,0.010500373,0.00968674,0.00887145,1.6744147e-05,0.0129047455,0.9685203,0.011627606,0.04012587,7.73646e-05,0.0030565425,0.94511265,0.0020144961,0.21992946,0.77750206,0.00010157902,0.00045243985,0.00088912976,0.9891684,0.009030804,0.0001427944,0.0007689887,0.04353941,0.2067197,0.00020687067,0.05526244,0.6942715
24,0,even,0.99968696,1.2598093e-06,3.8283168e-09,0.00031126363,4.3778118e-07,0.99971086,4.32635e-06,0.00011250442,0.0001714297,9.752094e-07,0.9971295,8.393055e-08,4.079957e-06,0.0028659704,3.0236924e-07,0.9995981,3.2212762e-07,0.00040160932,1.4013966e-08,1.565046e-10,1.0,1.7533057e-10,4.3252815e-08,1.675921e-08,1.055997e-11,0.9729586,6.79241e-05,5.973362e-08,0.026959794,1.3436914e-05,0.99999344,1.0330286e-07,5.754265e-07,5.8440983e-06,1.2509848e-08,0.9991609,2.759488e-07,0.000838744,1.5036221e-07,5.402027e-09
25,7,odd,0.8335978,0.00032436376,0.16386528,0.00097622507,0.0012362727,6.596088e-07,1.8104895e-08,0.9999981,3.3691705e-07,8.649302e-07,0.9979225,5.9715014e-05,0.0015754987,0.0003536127,8.875637e-05,0.00056536205,0.99910235,1.2715624e-05,8.562693e-09,0.00031953104,0.13610227,0.76371455,0.07390959,1.514726e-05,0.026258385,0.9716645,0.00035219977,0.026417095,0.00079771626,0.00076845085,0.99997723,2.256835e-05,1.2136375e-07,2.4692601e-09,1.2247087e-07,0.00012769797,0.99987185,2.4411024e-08,1.0701393e-11,4.464731e-07
26,7,odd,0.02449254,8.750218e-06,0.97513074,3.245803e-05,0.00033553175,1.8489493e-07,1.0704226e-07,0.9999933,9.9549666e-08,6.3317643e-06,0.051450305,0.00040645542,0.9340233,0.003926024,0.010193908,5.7995167e-05,0.94364494,0.0016017365,1.359092e-08,0.054695264,0.00029850868,0.006060504,0.9366801,9.624185e-08,0.05696081,0.43360704,2.5607545e-05,0.5630613,0.0012770732,0.002029062,0.91707975,0.05379236,0.000503926,4.1814533e-07,0.02862367,3.6225356e-05,0.99982613,4.6227226e-05,6.033578e-11,9.1403606e-05
27,6,even,3.3178658e-05,0.0034743657,0.00091019087,0.9937981,0.0017841607,0.0001726296,0.00020638411,8.517016e-05,0.992299,0.007236871,7.4329546e-05,0.00018670093,2.8750264e-05,0.999567,0.00014320688,1.5968548e-06,9.3403634e-07,7.422156e-07,0.99999666,1.14105255e-07,4.696245e-07,4.970228e-07,1.03269116e-07,0.99999857,3.1148755e-07,9.180825e-05,0.025243225,0.0012795541,0.966695,0.006690426,5.826458e-06,0.0049049407,0.00029419546,0.9945222,0.00027275842,1.9510446e-05,1.7298606e-05,5.7702837e-05,0.99990284,2.6443226e-06
