idx,label,parity,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15
0,1,odd,1.1728681,-1.2648338,0.042458903,-0.14513092,0.0798295,0.005001664,-0.19803539,-0.6740985,-1.2352492,0.9393858,0.014936961,1.2044644,0.54393244,-0.330001,0.060783997,1.4250848
1,9,odd,1.4546857,-1.1156658,-0.09572977,-0.47687462,0.8492009,-0.3048237,-0.3939357,0.2894925,1.5329225,-1.0551354,0.6304112,0.11693753,0.021205217,-0.6183234,0.24052884,-0.38840026
2,2,even,0.038993545,0.8066381,-0.1668963,-0.6552113,1.0325122,0.16742131,0.6938814,1.017364,-0.28412604,2.0092344,-1.3224006,-0.24729681,1.1194913,-1.3116815,-0.3636192,1.1888099
3,8,even,-1.2160679,-0.4674,-0.1621391,-0.278879,-1.4579957,-0.59771484,0.6838229,1.7853808,0.2911293,-0.41595316,0.59165674,-0.37708145,0.51845074,-0.2052133,-0.7936449,1.560618
4,9,odd,-1.0550319,0.029598154,0.11805202,-1.2045388,0.29896146,0.43362767,0.11498296,0.71346027,0.9216281,0.24533008,-0.5107875,1.4711667,-0.15985288,1.1949525,0.6543639,0.6931832
5,0,even,0.84178394,1.9682038,0.36675847,-0.9882677,-0.44889742,0.29924726,-1.8865402,-0.78900003,-1.3774775,0.70126987,0.35671768,-0.14697853,0.12714627,-0.11084661,0.8580329,0.21786517
6,0,even,1.9465522,0.6685427,-0.04079876,0.22781289,-0.40224534,-0.030224157,-1.3495934,-0.6210815,0.3055194,0.4019964,-0.21954477,-0.9245589,0.14889428,0.7756426,0.62320507,-1.0779426
7,1,odd,1.0486543,-1.2451917,-0.13784093,-1.2437458,-0.8041324,0.12665837,-0.53894496,-1.070791,-0.82846665,-0.2498024,-0.09780327,0.7518558,-0.058580935,0.7104593,0.5169804,0.77324843
8,3,odd,0.8336173,0.17161801,-0.48131716,0.19335216,0.91923827,-0.9560836,1.0195519,1.1287663,-1.4101038,-1.8114836,0.05253894,-0.50005496,0.94076174,0.6189065,0.35394192,0.14949751
9,0,even,0.27942374,0.50245124,0.13855328,-0.33406702,-1.405019,-0.047145173,0.38043287,1.7032096,0.24345267,0.28506586,0.25815347,0.77615166,0.62451905,0.35290843,0.65641195,-1.620831
10,0,even,2.1489701,0.7157776,0.00641495,0.04987461,0.966454,0.28883356,-1.2360191,-1.0759015,0.9468007,-0.044502266,-0.23506314,-0.9709989,-0.4464379,0.58978343,-0.05427167,-0.29127607
11,8,even,0.12891622,-1.4551688,0.16786645,0.3891366,-0.5243815,0.07739863,1.0866346,0.4891861,-0.71394926,0.27147985,0.044097293,0.18967871,-0.7505785,-0.43277746,0.8335201,0.40318257
12,4,even,0.17073801,-1.4651134,-0.029671416,0.77120596,0.9797175,-0.38498378,-0.83982813,-0.25952464,2.0949695,0.8872777,-0.18426958,-0.8118079,0.37150744,-1.4539788,0.7065745,-0.26480874
13,1,odd,1.1380562,-1.8123144,0.023908276,0.58328193,0.59642076,-0.24195309,-0.3503421,-0.5522817,-1.5328561,0.79403245,-0.1999157,0.55708355,1.087802,-0.9502182,0.8650637,1.4082884
14,2,even,0.6020517,0.13402244,-0.12294638,-0.07548771,-0.6795164,0.22500408,0.7113154,0.2953962,-1.5886661,-1.3027022,-0.4642201,0.25430274,-0.31862316,0.9594763,-0.90607375,0.4332454
15,3,odd,1.4830222,-0.98745733,-0.33976567,0.23711053,1.2634149,-0.73119175,-0.009180903,0.6188957,-0.16550253,-0.37672997,1.076681,-0.57925564,-0.8896673,0.47146952,0.5666246,-0.19005513
16,6,even,0.007135682,1.5697075,0.00809199,-0.4033617,-0.8138549,-0.23403251,-0.41257513,-0.43879178,-0.022868417,-0.27029622,0.9704871,-0.25930113,-0.7789476,-3.0315096,-0.03884554,0.095820315
17,8,even,-0.08728087,-0.8429557,0.13354349,-0.14172964,0.3448617,0.24156499,-0.78759277,-0.41410252,-0.17088374,0.9061055,0.12451058,-0.46779877,0.4103245,-0.60623264,-1.3696687,-1.1447841
18,7,odd,-0.33136278,-1.1130519,0.10487713,-1.7666984,0.13328284,0.46078753,-0.9113355,0.8452559,0.36652628,-0.8184435,-0.6553323,0.739969,1.3816925,-0.66752714,0.600005,0.77962756
19,6,even,-0.26738882,-0.48230642,0.09590263,0.4149227,-0.92855513,0.088827774,1.2802162,-1.369309,0.31140637,-0.16750522,-0.06588185,0.2982071,0.07647413,0.84548646,-0.62528944,0.6914066
20,9,odd,-0.33077604,-1.7049832,0.09546451,-0.7746046,-0.39059457,-0.14951587,-1.7107251,0.73315066,1.627975,-0.49470636,0.3109937,-0.6111604,1.2497369,-0.3450644,1.326169,-0.21519002
21,8,even,0.40962166,-1.5438308,0.21507949,-0.18089779,0.3906233,0.547947,-1.4662395,0.15140384,-0.16620846,0.47253993,-0.6723746,-1.2671149,0.8178364,-0.10395566,-0.748139,-1.224023
22,8,even,0.2628234,-2.2052803,-0.2692297,-0.05925072,0.049975492,-0.48596767,0.96913797,0.550101,-0.66210926,-0.64660895,0.04735162,-0.41624123,-0.2782002,-0.07990131,0.89191765,0.93038154
23,1,odd,1.3018299,-1.6637291,-0.045761317,-0.04253135,-0.6470707,-0.042319603,-0.41879553,-0.57056725,-1.3379503,0.2685091,-0.16530678,0.049066365,0.5550958,0.17780715,0.15567775,1.544457
24,0,even,1.0577219,2.3975196,0.21067771,-0.39050272,-0.321036,0.0020688102,-1.684093,0.3845591,0.99345636,0.33962777,0.023319714,-1.0545752,-0.06419404,-0.14737792,0.6082675,0.72874
