idx,label,parity,recon_error
0,1,odd,0.012123521
1,9,odd,0.027452713
2,2,even,0.03757939
3,8,even,0.020141775
4,9,odd,0.027885308
5,0,even,0.0137433605
6,0,even,0.01930129
7,1,odd,0.025464354
8,3,odd,0.05974817
9,0,even,0.02208317
10,0,even,0.019872827
11,8,even,0.02963758
12,4,even,0.029542588
13,1,odd,0.014755197
14,2,even,0.03346084
15,3,odd,0.04362288
16,6,even,0.025101302
17,8,even,0.04154431
18,7,odd,0.038473953
19,6,even,0.019691484
20,9,odd,0.017763108
21,8,even,0.037142195
22,8,even,0.029527903
23,1,odd,0.017407317
24,0,even,0.017816367
25,7,odd,0.039988387
26,7,odd,0.05818518
27,6,even,0.017706579
28,1,odd,0.019039324
29,4,even,0.040609762
30,3,odd,0.052580845
31,3,odd,0.057717163
32,9,odd,0.022737065
33,5,odd,0.048735574
34,4,even,0.023391943
35,7,odd,0.037946768
36,1,odd,0.029433513
37,7,odd,0.059673965
38,2,even,0.025006047
39,3,odd,0.08312579
40,7,odd,0.05012713
41,5,odd,0.049437534
42,5,odd,0.04871167
43,3,odd,0.053122453
44,2,even,0.024573205
45,8,even,0.042744353
46,6,even,0.030861966
47,5,odd,0.08337406
48,2,even,0.033567015
49,2,even,0.031002238
50,1,odd,0.018639693
51,8,even,0.047227625
52,5,odd,0.033451546
53,6,even,0.036508482
54,2,even,0.040841743
55,6,even,0.029513985
56,5,odd,0.036531053
57,9,odd,0.030700995
58,9,odd,0.040647596
59,8,even,0.026030995
60,7,odd,0.04548992
61,4,even,0.025839612
62,6,even,0.017435718
63,0,even,0.016245402
64,9,odd,0.02357209
65,3,odd,0.053473778
66,8,even,0.028573021
67,8,even,0.026452811
68,4,even,0.02033222
69,4,even,0.023628546
70,6,even,0.02469488
71,5,odd,0.030698067
72,3,odd,0.048225496
73,0,even,0.01851595
74,4,even,0.037507042
75,4,even,0.034019433
76,4,even,0.02420812
77,6,even,0.024330499
78,0,even,0.034011733
79,3,odd,0.06646834
80,1,odd,0.024199905
81,9,odd,0.03542763
82,5,odd,0.059542444
83,4,even,0.028481064
84,4,even,0.01803452
85,8,even,0.03762184
86,0,even,0.019099556
87,4,even,0.038896184
88,5,odd,0.045348186
89,2,even,0.017634965
90,7,odd,0.05195626
91,7,odd,0.031826034
92,7,odd,0.07894976
93,9,odd,0.03929668
94,5,odd,0.036822125
95,2,even,0.0418259
96,7,odd,0.054672617
97,9,odd,0.02904416
98,1,odd,0.02173632
99,2,even,0.026956942
100,5,odd,0.04035606
101,0,even,0.070222214
102,2,even,0.04048542
103,4,even,0.041325986
104,7,odd,0.04513944
105,3,odd,0.06173709
106,4,even,0.013356953
107,3,odd,0.057255518
108,5,odd,0.06307929
109,1,odd,0.0359134
110,3,odd,0.04613245
111,8,even,0.045119878
112,8,even,0.037820056
113,7,odd,0.03867827
114,0,even,0.042032164
115,7,odd,0.032839596
116,2,even,0.037598524
117,2,even,0.02963586
118,6,even,0.021490734
119,5,odd,0.05967459
120,6,even,0.020848531
121,9,odd,0.018161656
122,8,even,0.027137535
123,4,even,0.021133639
124,3,odd,0.052227262
125,6,even,0.027396785
126,9,odd,0.043654494
127,1,odd,0.016618926
128,2,even,0.047681294
129,4,even,0.025637021
130,2,even,0.03311594
131,6,even,0.024221292
132,7,odd,0.051531646
133,7,odd,0.034608483
134,1,odd,0.016356992
135,8,even,0.0447159
136,1,odd,0.020233007
137,8,even,0.038032655
138,8,even,0.06040686
139,8,even,0.016253185
140,8,even,0.037770182
141,1,odd,0.042598084
142,0,even,0.016875826
143,3,odd,0.05191582
144,9,odd,0.036372934
145,8,even,0.024724597
146,4,even,0.018076342
147,9,odd,0.044135313
148,3,odd,0.035481546
149,7,odd,0.031059954
150,4,even,0.021404162
151,6,even,0.038980454
152,1,odd,0.034546334
153,0,even,0.018876761
154,6,even,0.014131809
155,0,even,0.017305095
156,0,even,0.014385943
157,6,even,0.009231559
158,3,odd,0.04893746
159,2,even,0.02132175
160,5,odd,0.030526247
161,7,odd,0.041060828
162,4,even,0.027336452
163,1,odd,0.022047544
164,6,even,0.027056305
165,6,even,0.02414216
166,1,odd,0.016460167
167,7,odd,0.04693906
168,0,even,0.03707381
169,2,even,0.038364653
170,6,even,0.040003154
171,2,even,0.040664345
172,5,odd,0.025641387
173,1,odd,0.028828114
174,7,odd,0.033537816
175,1,odd,0.019219985
176,4,even,0.029335411
177,6,even,0.019299904
178,8,even,0.01762228
179,5,odd,0.05374522
180,6,even,0.023531415
181,6,even,0.024143219
182,4,even,0.025111062
183,0,even,0.020122427
184,4,even,0.03440377
185,8,even,0.024826989
186,7,odd,0.030644907
187,4,even,0.024780415
188,6,even,0.02992448
189,3,odd,0.06375883
190,3,odd,0.05292556
191,1,odd,0.022247909
192,0,even,0.028644659
193,5,odd,0.027377779
194,9,odd,0.048906375
195,6,even,0.043067142
196,7,odd,0.0391995
197,2,even,0.057186306
198,5,odd,0.040017582
199,9,odd,0.022121562
200,8,even,0.04935655
201,5,odd,0.05434424
202,7,odd,0.03726958
203,2,even,0.041746218
204,1,odd,0.016235147
205,9,odd,0.039158758
206,6,even,0.020904582
207,0,even,0.031940583
208,1,odd,0.028179383
209,9,odd,0.040266324
210,4,even,0.023344463
