sample_id,variety,acidity,bitterness,brew_strength
S01,cold_brew,6.2,2.1,23.0
S02,cold_brew,6.0,1.8,14.0
S03,cold_brew,6.3,2.4,9.0
S04,cold_brew,5.9,2.0,20.0
S05,cold_brew,6.1,1.9,16.0
S06,drip,5.6,5.1,17.0
S07,drip,5.4,4.8,10.0
S08,drip,5.7,5.4,22.0
S09,drip,5.5,5.0,13.0
S10,drip,5.8,5.2,8.0
S11,espresso,4.5,8.2,15.0
S12,espresso,4.3,8.5,23.0
S13,espresso,4.6,8.0,9.0
S14,espresso,4.4,8.3,20.0
S15,espresso,4.8,7.8,12.0
S16,latte,5.8,3.2,11.0
S17,latte,6.0,3.5,19.0
S18,latte,5.9,3.0,24.0
S19,latte,6.1,3.3,14.0
S20,latte,5.7,3.1,7.0

