sample_id,x1,x2,variety
S0001,-1.2595,-21.2749,espresso
S0002,7.9576,20.7687,ristretto
S0003,6.9919,9.9560,lungo
S0004,-15.9061,-3.3325,americano
S0005,23.3069,-4.2691,cappuccino
S0006,-14.0871,-7.9144,latte
S0007,21.3634,-5.2883,flat_white
S0008,-2.9526,21.0717,cold_brew
S0009,-5.2551,-1.1834,pour_over
S0010,-5.4802,-8.0763,french_press
S0011,11.2151,-16.9199,espresso
S0012,3.0092,11.9948,ristretto
S0013,-2.4142,4.8517,lungo
S0014,-23.2556,1.9068,americano
S0015,24.4567,-2.6613,cappuccino
S0016,-1.4007,15.8613,latte
S0017,17.1667,2.3892,flat_white
S0018,5.6161,12.9264,cold_brew
S0019,-2.8452,14.2896,pour_over
S0020,-13.7714,-8.8464,french_press
S0021,6.4354,-19.4771,espresso
S0022,0.0259,10.3370,ristretto
S0023,-8.0888,8.8120,lungo
S0024,-19.1898,4.5155,americano
S0025,17.5388,-4.6277,cappuccino
S0026,6.1114,5.4619,latte
S0027,21.3342,-8.1054,flat_white
S0028,4.7759,5.1814,cold_brew
S0029,0.4447,7.3817,pour_over
S0030,-14.5342,-9.4326,french_press
S0031,0.2409,-26.5930,espresso
S0032,-13.6304,-7.3706,french_press
S0033,-5.0202,3.5983,latte
S0034,-6.0300,11.2178,latte
S0035,18.0065,-3.4747,flat_white
S0036,-3.1856,9.5902,latte
S0037,6.1344,-15.9000,espresso
S0038,-13.3750,-9.9938,french_press
S0039,-0.0180,11.6790,pour_over
S0040,-20.7439,-12.8229,french_press
S0041,-4.3889,10.7739,pour_over
S0042,25.0451,-0.7712,cappuccino
S0043,2.8245,9.2869,ristretto
S0044,5.6638,10.3687,cold_brew
S0045,-3.5641,18.9204,cold_brew
S0046,-20.8520,-3.0782,americano
S0047,3.0097,11.3904,latte
S0048,1.6440,10.7381,ristretto
S0049,5.0185,-20.7747,espresso
S0050,3.9386,-20.8821,espresso
S0051,0.9825,6.8048,lungo
S0052,6.2654,7.2593,lungo
S0053,6.8976,13.3213,cold_brew
